Date,Series,Value
2018-07-09,Volume Intensity,0.239
2018-07-10,Volume Intensity,0.2323
2018-07-11,Volume Intensity,0.221
2018-07-12,Volume Intensity,0.2388
2018-07-13,Volume Intensity,0.2576
2018-07-14,Volume Intensity,0.2651
2018-07-15,Volume Intensity,0.2447
2018-07-16,Volume Intensity,0.2569
2018-07-17,Volume Intensity,0.2799
2018-07-18,Volume Intensity,0.2695
2018-07-19,Volume Intensity,0.2689
2018-07-20,Volume Intensity,0.2618
2018-07-21,Volume Intensity,0.2526
2018-07-22,Volume Intensity,0.25
2018-07-23,Volume Intensity,0.2293
2018-07-24,Volume Intensity,0.2276
2018-07-25,Volume Intensity,0.2146
2018-07-26,Volume Intensity,0.2092
2018-07-27,Volume Intensity,0.2086
2018-07-28,Volume Intensity,0.1913
2018-07-29,Volume Intensity,0.2217
2018-07-30,Volume Intensity,0.2445
2018-07-31,Volume Intensity,0.2423
2018-08-01,Volume Intensity,0.2607
2018-08-02,Volume Intensity,0.273
2018-08-03,Volume Intensity,0.2951
2018-08-04,Volume Intensity,0.2869
2018-08-05,Volume Intensity,0.2921
2018-08-06,Volume Intensity,0.2944
2018-08-07,Volume Intensity,0.2848
2018-08-08,Volume Intensity,0.2921
2018-08-09,Volume Intensity,0.2981
2018-08-10,Volume Intensity,0.2833
2018-08-11,Volume Intensity,0.2443
2018-08-12,Volume Intensity,0.2415
2018-08-13,Volume Intensity,0.2408
2018-08-14,Volume Intensity,0.2352
2018-08-15,Volume Intensity,0.2321
2018-08-16,Volume Intensity,0.2305
2018-08-17,Volume Intensity,0.2331
2018-08-18,Volume Intensity,0.239
2018-08-19,Volume Intensity,0.2457
2018-08-20,Volume Intensity,0.2561
2018-08-21,Volume Intensity,0.2509
2018-08-22,Volume Intensity,0.2503
2018-08-23,Volume Intensity,0.2643
2018-08-24,Volume Intensity,0.2574
2018-08-25,Volume Intensity,0.2467
2018-08-26,Volume Intensity,0.2435
2018-08-27,Volume Intensity,0.2396
2018-08-28,Volume Intensity,0.2489
2018-08-29,Volume Intensity,0.2512
2018-08-30,Volume Intensity,0.2553
2018-08-31,Volume Intensity,0.2483
2018-09-01,Volume Intensity,0.2375
2018-09-02,Volume Intensity,0.2488
2018-09-03,Volume Intensity,0.2482
2018-09-04,Volume Intensity,0.2443
2018-09-05,Volume Intensity,0.2594
2018-09-06,Volume Intensity,0.2704
2018-09-07,Volume Intensity,0.2686
2018-09-08,Volume Intensity,0.2802
2018-09-09,Volume Intensity,0.3076
2018-09-10,Volume Intensity,0.3122
2018-09-11,Volume Intensity,0.3107
2018-09-12,Volume Intensity,0.3157
2018-09-13,Volume Intensity,0.3339
2018-09-14,Volume Intensity,0.3118
2018-09-15,Volume Intensity,0.2892
2018-09-16,Volume Intensity,0.2979
2018-09-17,Volume Intensity,0.2903
2018-09-18,Volume Intensity,0.3105
2018-09-19,Volume Intensity,0.313
2018-09-20,Volume Intensity,0.3363
2018-09-21,Volume Intensity,0.3254
2018-09-22,Volume Intensity,0.3056
2018-09-23,Volume Intensity,0.315
2018-09-24,Volume Intensity,0.3005
2018-09-25,Volume Intensity,0.2939
2018-09-26,Volume Intensity,0.2724
2018-09-27,Volume Intensity,0.2737
2018-09-28,Volume Intensity,0.2782
2018-09-29,Volume Intensity,0.2671
2018-09-30,Volume Intensity,0.2641
2018-10-01,Volume Intensity,0.2601
2018-10-02,Volume Intensity,0.2828
2018-10-03,Volume Intensity,0.2856
